rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
186,7月5日,7月4日,43,23,img/2013 (186).jpg,165,125.7,img/2014 (186).jpg,89,66,img/2015 (186).jpg,307,257,img/2016 (186).jpg,141,108,img/2017 (186).jpg,130,99,img/2018 (186).jpg
187,7月6日,7月5日,175,119,img/2013 (187).jpg,252,201.9,img/2014 (187).jpg,142,111,img/2015 (187).jpg,167,127,img/2016 (187).jpg,170,129,img/2017 (187).jpg,51,29,img/2018 (187).jpg
188,7月7日,7月6日,87,56,img/2013 (188).jpg,104,78.4,img/2014 (188).jpg,113,87,img/2015 (188).jpg,90,67,img/2016 (188).jpg,58,27,img/2017 (188).jpg,79,58,img/2018 (188).jpg
189,7月8日,7月7日,132,79,img/2013 (189).jpg,176,133.4,img/2014 (189).jpg,210,160,img/2015 (189).jpg,169,106,img/2016 (189).jpg,61,28,img/2017 (189).jpg,65,47,img/2018 (189).jpg
190,7月9日,7月8日,211,145,img/2013 (190).jpg,29,10.6,img/2014 (190).jpg,138,105,img/2015 (190).jpg,109,82,img/2016 (190).jpg,117,59,img/2017 (190).jpg,151,116,img/2018 (190).jpg
191,7月10日,7月9日,45,36,img/2013 (191).jpg,53,25.3,img/2014 (191).jpg,73,53,img/2015 (191).jpg,129,98,img/2016 (191).jpg,46,32,img/2017 (191).jpg,58,41,img/2018 (191).jpg
192,7月11日,7月10日,46,34,img/2013 (192).jpg,77,43.5,img/2014 (192).jpg,173,131,img/2015 (192).jpg,177,134,img/2016 (192).jpg,52,33,img/2017 (192).jpg,43,30,img/2018 (192).jpg
193,7月12日,7月11日,145,71,img/2013 (193).jpg,34,6.5,img/2014 (193).jpg,170,129,img/2015 (193).jpg,136,104,img/2016 (193).jpg,105,63,img/2017 (193).jpg,61,44,img/2018 (193).jpg
194,7月13日,7月12日,178,135,img/2013 (194).jpg,68,19,img/2014 (194).jpg,56,31,img/2015 (194).jpg,98,73,img/2016 (194).jpg,58,41,img/2017 (194).jpg,54,40,img/2018 (194).jpg
195,7月14日,7月13日,171,127,img/2013 (195).jpg,48,16.1,img/2014 (195).jpg,37,3,img/2015 (195).jpg,34,24,img/2016 (195).jpg,45,26,img/2017 (195).jpg,60,43,img/2018 (195).jpg
196,7月15日,7月14日,111,71,img/2013 (196).jpg,69,32,img/2014 (196).jpg,53,3,img/2015 (196).jpg,80,56,img/2016 (196).jpg,40,28,img/2017 (196).jpg,89,66,img/2018 (196).jpg
197,7月16日,7月15日,23,11,img/2013 (197).jpg,116,88.2,img/2014 (197).jpg,67,48,img/2015 (197).jpg,44,31,img/2016 (197).jpg,85,63,img/2017 (197).jpg,23,7,img/2018 (197).jpg
198,7月17日,7月16日,78,52,img/2013 (198).jpg,163,123.8,img/2014 (198).jpg,15,10,img/2015 (198).jpg,41,29,img/2016 (198).jpg,54,37,img/2017 (198).jpg,24,13,img/2018 (198).jpg
199,7月18日,7月17日,209,163,img/2013 (199).jpg,136,103.4,img/2014 (199).jpg,74,54,img/2015 (199).jpg,116,88,img/2016 (199).jpg,75,55,img/2017 (199).jpg,81,60,img/2018 (199).jpg
200,7月19日,7月18日,215,166,img/2013 (200).jpg,89,66.1,img/2014 (200).jpg,77,56,img/2015 (200).jpg,128,97,img/2016 (200).jpg,94,70,img/2017 (200).jpg,51,36,img/2018 (200).jpg
201,7月20日,7月19日,201,152,img/2013 (201).jpg,70,50.8,img/2014 (201).jpg,87,64,img/2015 (201).jpg,212,162,img/2016 (201).jpg,118,89,img/2017 (201).jpg,111,84,img/2018 (201).jpg
202,7月21日,7月20日,147,85,img/2013 (202).jpg,42,29.7,img/2014 (202).jpg,110,83,img/2015 (202).jpg,102,77,img/2016 (202).jpg,32,19,img/2017 (202).jpg,114,86,img/2018 (202).jpg
203,7月22日,7月21日,173,116,img/2013 (203).jpg,21,7.4,img/2014 (203).jpg,109,82,img/2015 (203).jpg,14,6,img/2016 (203).jpg,24,17,img/2017 (203).jpg,126,96,img/2018 (203).jpg
204,7月23日,7月22日,66,44,img/2013 (204).jpg,35,19,img/2014 (204).jpg,42,29,img/2015 (204).jpg,102,77,img/2016 (204).jpg,49,29,img/2017 (204).jpg,131,100,img/2018 (204).jpg
205,7月24日,7月23日,78,62,img/2013 (205).jpg,113,70.3,img/2014 (205).jpg,57,40,img/2015 (205).jpg,139,106,img/2016 (205).jpg,80,59,img/2017 (205).jpg,23,16,img/2018 (205).jpg
206,7月25日,7月24日,32,18,img/2013 (206).jpg,126,95.4,img/2014 (206).jpg,110,83,img/2015 (206).jpg,69,50,img/2016 (206).jpg,23,14,img/2017 (206).jpg,18,9,img/2018 (206).jpg
207,7月26日,7月25日,88,55,img/2013 (207).jpg,185,139.6,img/2014 (207).jpg,199,149,img/2015 (207).jpg,72,53,img/2016 (207).jpg,64,28,img/2017 (207).jpg,24,11,img/2018 (207).jpg
208,7月27日,7月26日,121,88,img/2013 (208).jpg,146,111.4,img/2014 (208).jpg,40,20,img/2015 (208).jpg,18,3,img/2016 (208).jpg,60,35,img/2017 (208).jpg,30,21,img/2018 (208).jpg
209,7月28日,7月27日,102,62,img/2013 (209).jpg,165,125.5,img/2014 (209).jpg,64,46,img/2015 (209).jpg,80,59,img/2016 (209).jpg,73,53,img/2017 (209).jpg,74,54,img/2018 (209).jpg
210,7月29日,7月28日,109,74,img/2013 (210).jpg,226,175.5,img/2014 (210).jpg,119,90,img/2015 (210).jpg,34,24,img/2016 (210).jpg,41,41,img/2017 (210).jpg,130,99,img/2018 (210).jpg
211,7月30日,7月29日,199,142,img/2013 (211).jpg,236,173.9,img/2014 (211).jpg,40,28,img/2015 (211).jpg,183,138,img/2016 (211).jpg,63,42,img/2017 (211).jpg,135,97,img/2018 (211).jpg
212,7月31日,7月30日,51,40,img/2013 (212).jpg,234,184,img/2014 (212).jpg,23,16,img/2015 (212).jpg,209,159,img/2016 (212).jpg,161,123,img/2017 (212).jpg,156,119,img/2018 (212).jpg
213,8月1日,7月31日,45,39,img/2013 (213).jpg,178,134.3,img/2014 (213).jpg,124,97,img/2015 (213).jpg,81,60,img/2016 (213).jpg,123,107,img/2017 (213).jpg,109,82,img/2018 (213).jpg
214,8月2日,8月1日,98,65,img/2013 (214).jpg,81,59.6,img/2014 (214).jpg,68,50,img/2015 (214).jpg,89,66,img/2016 (214).jpg,78,57,img/2017 (214).jpg,160,122,img/2018 (214).jpg
215,8月3日,8月2日,41,26,img/2013 (215).jpg,195,146.3,img/2014 (215).jpg,150,115,img/2015 (215).jpg,90,67,img/2016 (215).jpg,24,17,img/2017 (215).jpg,119,90,img/2018 (215).jpg
216,8月4日,8月3日,160,110,img/2013 (216).jpg,96,71.7,img/2014 (216).jpg,24,16,img/2015 (216).jpg,183,138,img/2016 (216).jpg,91,51,img/2017 (216).jpg,146,112,img/2018 (216).jpg
217,8月5日,8月4日,67,46,img/2013 (217).jpg,25,17.6,img/2014 (217).jpg,108,81,img/2015 (217).jpg,154,118,img/2016 (217).jpg,121,76,img/2017 (217).jpg,67,37,img/2018 (217).jpg
218,8月6日,8月5日,179,130,img/2013 (218).jpg,76,56.2,img/2014 (218).jpg,29,20,img/2015 (218).jpg,114,86,img/2016 (218).jpg,53,37,img/2017 (218).jpg,53,25,img/2018 (218).jpg
219,8月7日,8月6日,65,43,img/2013 (219).jpg,109,82.2,img/2014 (219).jpg,152,116,img/2015 (219).jpg,205,155,img/2016 (219).jpg,22,11,img/2017 (219).jpg,104,78,img/2018 (219).jpg
220,8月8日,8月7日,56,41,img/2013 (220).jpg,115,87.1,img/2014 (220).jpg,25,17,img/2015 (220).jpg,34,20,img/2016 (220).jpg,64,46,img/2017 (220).jpg,29,10,img/2018 (220).jpg
221,8月9日,8月8日,45,28,img/2013 (221).jpg,181,137,img/2014 (221).jpg,67,48,img/2015 (221).jpg,75,55,img/2016 (221).jpg,29,20,img/2017 (221).jpg,50,35,img/2018 (221).jpg
222,8月10日,8月9日,59,46,img/2013 (222).jpg,41,29,img/2014 (222).jpg,90,67,img/2015 (222).jpg,77,56,img/2016 (222).jpg,81,60,img/2017 (222).jpg,89,66,img/2018 (222).jpg
223,8月11日,8月10日,267,208,img/2013 (223).jpg,32,17.7,img/2014 (223).jpg,155,118,img/2015 (223).jpg,139,106,img/2016 (223).jpg,160,122,img/2017 (223).jpg,34,15,img/2018 (223).jpg
224,8月12日,8月11日,88,51,img/2013 (224).jpg,34,14.6,img/2014 (224).jpg,120,91,img/2015 (224).jpg,132,101,img/2016 (224).jpg,54,38,img/2017 (224).jpg,74,54,img/2018 (224).jpg
225,8月13日,8月12日,121,78,img/2013 (225).jpg,46,32.5,img/2014 (225).jpg,147,112,img/2015 (225).jpg,154,118,img/2016 (225).jpg,63,45,img/2017 (225).jpg,47,33,img/2018 (225).jpg
226,8月14日,8月13日,87,42,img/2013 (226).jpg,35,24.2,img/2014 (226).jpg,175,132,img/2015 (226).jpg,48,32,img/2016 (226).jpg,46,32,img/2017 (226).jpg,78,57,img/2018 (226).jpg
227,8月15日,8月14日,111,77,img/2013 (227).jpg,94,69.8,img/2014 (227).jpg,50,24,img/2015 (227).jpg,22,14,img/2016 (227).jpg,69,50,img/2017 (227).jpg,27,19,img/2018 (227).jpg
228,8月16日,8月15日,143,83,img/2013 (228).jpg,63,43.5,img/2014 (228).jpg,75,34,img/2015 (228).jpg,19,13,img/2016 (228).jpg,106,80,img/2017 (228).jpg,24,10,img/2018 (228).jpg
229,8月17日,8月16日,46,24,img/2013 (229).jpg,49,30.9,img/2014 (229).jpg,95,81,img/2015 (229).jpg,34,18,img/2016 (229).jpg,23,16,img/2017 (229).jpg,68,34,img/2018 (229).jpg
230,8月18日,8月17日,21,10,img/2013 (230).jpg,54,35.9,img/2014 (230).jpg,40,28,img/2015 (230).jpg,102,77,img/2016 (230).jpg,119,90,img/2017 (230).jpg,24,8,img/2018 (230).jpg
231,8月19日,8月18日,27,17,img/2013 (231).jpg,122,92.2,img/2014 (231).jpg,59,34,img/2015 (231).jpg,157,120,img/2016 (231).jpg,84,62,img/2017 (231).jpg,38,12,img/2018 (231).jpg
232,8月20日,8月19日,187,120,img/2013 (232).jpg,133,101.2,img/2014 (232).jpg,26,18,img/2015 (232).jpg,20,8,img/2016 (232).jpg,124,94,img/2017 (232).jpg,34,24,img/2018 (232).jpg
233,8月21日,8月20日,176,117,img/2013 (233).jpg,176,133,img/2014 (233).jpg,20,12,img/2015 (233).jpg,69,50,img/2016 (233).jpg,135,103,img/2017 (233).jpg,21,12,img/2018 (233).jpg
234,8月22日,8月21日,168,117,img/2013 (234).jpg,44,21.9,img/2014 (234).jpg,13,5,img/2015 (234).jpg,81,60,img/2016 (234).jpg,114,86,img/2017 (234).jpg,73,22,img/2018 (234).jpg
235,8月23日,8月22日,145,77,img/2013 (235).jpg,135,102.9,img/2014 (235).jpg,18,12,img/2015 (235).jpg,116,88,img/2016 (235).jpg,33,4,img/2017 (235).jpg,31,18,img/2018 (235).jpg
236,8月24日,8月23日,51,31,img/2013 (236).jpg,45,31.7,img/2014 (236).jpg,13,6,img/2015 (236).jpg,103,76,img/2016 (236).jpg,63,28,img/2017 (236).jpg,33,6,img/2018 (236).jpg
237,8月25日,8月24日,47,26,img/2013 (237).jpg,39,16.9,img/2014 (237).jpg,13,8,img/2015 (237).jpg,105,79,img/2016 (237).jpg,35,14,img/2017 (237).jpg,64,28,img/2018 (237).jpg
238,8月26日,8月25日,77,50,img/2013 (238).jpg,56,22.9,img/2014 (238).jpg,21,7,img/2015 (238).jpg,31,5,img/2016 (238).jpg,66,22,img/2017 (238).jpg,119,90,img/2018 (238).jpg
239,8月27日,8月26日,87,57,img/2013 (239).jpg,62,31.6,img/2014 (239).jpg,17,5,img/2015 (239).jpg,21,9,img/2016 (239).jpg,26,4,img/2017 (239).jpg,119,90,img/2018 (239).jpg
240,8月28日,8月27日,90,68,img/2013 (240).jpg,105,78.7,img/2014 (240).jpg,22,15,img/2015 (240).jpg,22,13,img/2016 (240).jpg,41,29,img/2017 (240).jpg,106,80,img/2018 (240).jpg
241,8月29日,8月28日,35,16,img/2013 (241).jpg,101,75.6,img/2014 (241).jpg,31,10,img/2015 (241).jpg,28,11,img/2016 (241).jpg,29,13,img/2017 (241).jpg,19,8,img/2018 (241).jpg
242,8月30日,8月29日,32,13,img/2013 (242).jpg,174,131.5,img/2014 (242).jpg,42,21,img/2015 (242).jpg,20,11,img/2016 (242).jpg,73,56,img/2017 (242).jpg,58,35,img/2018 (242).jpg
243,8月31日,8月30日,41,25,img/2013 (243).jpg,89,66.1,img/2014 (243).jpg,53,37,img/2015 (243).jpg,43,30,img/2016 (243).jpg,101,85,img/2017 (243).jpg,24,15,img/2018 (243).jpg
244,9月1日,8月31日,46,39,img/2013 (244).jpg,99,74.5,img/2014 (244).jpg,17,4,img/2015 (244).jpg,40,25,img/2016 (244).jpg,205,155,img/2017 (244).jpg,131,100,img/2018 (244).jpg
245,9月2日,9月1日,67,43,img/2013 (245).jpg,29,20.1,img/2014 (245).jpg,11,5,img/2015 (245).jpg,52,26,img/2016 (245).jpg,203,150,img/2017 (245).jpg,113,85,img/2018 (245).jpg
246,9月3日,9月2日,143,79,img/2013 (246).jpg,24,15.1,img/2014 (246).jpg,13,10,img/2015 (246).jpg,26,18,img/2016 (246).jpg,91,68,img/2017 (246).jpg,139,106,img/2018 (246).jpg
247,9月4日,9月3日,89,58,img/2013 (247).jpg,74,48.9,img/2014 (247).jpg,82,60,img/2015 (247).jpg,20,13,img/2016 (247).jpg,159,121,img/2017 (247).jpg,16,3,img/2018 (247).jpg
248,9月5日,9月4日,32,16,img/2013 (248).jpg,89,65.4,img/2014 (248).jpg,30,16,img/2015 (248).jpg,156,119,img/2016 (248).jpg,126,96,img/2017 (248).jpg,38,15,img/2018 (248).jpg
249,9月6日,9月5日,98,66,img/2013 (249).jpg,141,107.8,img/2014 (249).jpg,20,6,img/2015 (249).jpg,46,32,img/2016 (249).jpg,31,8,img/2017 (249).jpg,42,11,img/2018 (249).jpg
250,9月7日,9月6日,145,101,img/2013 (250).jpg,207,157,img/2014 (250).jpg,36,25,img/2015 (250).jpg,29,13,img/2016 (250).jpg,53,15,img/2017 (250).jpg,21,6,img/2018 (250).jpg
251,9月8日,9月7日,82,50,img/2013 (251).jpg,19,3,img/2014 (251).jpg,82,60,img/2015 (251).jpg,34,10,img/2016 (251).jpg,205,155,img/2017 (251).jpg,26,5,img/2018 (251).jpg
252,9月9日,9月8日,149,112,img/2013 (252).jpg,44,23.6,img/2014 (252).jpg,62,44,img/2015 (252).jpg,46,32,img/2016 (252).jpg,124,94,img/2017 (252).jpg,61,19,img/2018 (252).jpg
253,9月10日,9月9日,188,142,img/2013 (253).jpg,147,112.9,img/2014 (253).jpg,18,3,img/2015 (253).jpg,31,19,img/2016 (253).jpg,210,160,img/2017 (253).jpg,81,53,img/2018 (253).jpg
254,9月11日,9月10日,52,33,img/2013 (254).jpg,125,94.9,img/2014 (254).jpg,14,3,img/2015 (254).jpg,26,13,img/2016 (254).jpg,71,52,img/2017 (254).jpg,76,56,img/2018 (254).jpg
255,9月12日,9月11日,213,166,img/2013 (255).jpg,81,59.9,img/2014 (255).jpg,16,10,img/2015 (255).jpg,33,23,img/2016 (255).jpg,51,16,img/2017 (255).jpg,58,41,img/2018 (255).jpg
256,9月13日,9月12日,90,50,img/2013 (256).jpg,140,107.4,img/2014 (256).jpg,17,9,img/2015 (256).jpg,33,23,img/2016 (256).jpg,110,75,img/2017 (256).jpg,135,103,img/2018 (256).jpg
257,9月14日,9月13日,145,98,img/2013 (257).jpg,140,107,img/2014 (257).jpg,77,55,img/2015 (257).jpg,189,132,img/2016 (257).jpg,232,188,img/2017 (257).jpg,150,111,img/2018 (257).jpg
258,9月15日,9月14日,29,12,img/2013 (258).jpg,38,23.1,img/2014 (258).jpg,183,138,img/2015 (258).jpg,136,104,img/2016 (258).jpg,83,58,img/2017 (258).jpg,16,3,img/2018 (258).jpg
259,9月16日,9月15日,111,75,img/2013 (259).jpg,29,20.3,img/2014 (259).jpg,229,179,img/2015 (259).jpg,112,57,img/2016 (259).jpg,113,78,img/2017 (259).jpg,21,6,img/2018 (259).jpg
260,9月17日,9月16日,123,78,img/2013 (260).jpg,42,18,img/2014 (260).jpg,234,184,img/2015 (260).jpg,215,165,img/2016 (260).jpg,22,3,img/2017 (260).jpg,42,11,img/2018 (260).jpg
261,9月18日,9月17日,156,112,img/2013 (261).jpg,121,91.9,img/2014 (261).jpg,212,178,img/2015 (261).jpg,101,76,img/2016 (261).jpg,29,7,img/2017 (261).jpg,21,14,img/2018 (261).jpg
262,9月19日,9月18日,157,110,img/2013 (262).jpg,142,109,img/2014 (262).jpg,21,8,img/2015 (262).jpg,36,25,img/2016 (262).jpg,53,13,img/2017 (262).jpg,26,18,img/2018 (262).jpg
263,9月20日,9月19日,96,72,img/2013 (263).jpg,164,124.7,img/2014 (263).jpg,166,123,img/2015 (263).jpg,14,7,img/2016 (263).jpg,33,10,img/2017 (263).jpg,38,25,img/2018 (263).jpg
264,9月21日,9月20日,61,36,img/2013 (264).jpg,110,80.3,img/2014 (264).jpg,126,89,img/2015 (264).jpg,24,15,img/2016 (264).jpg,90,41,img/2017 (264).jpg,33,10,img/2018 (264).jpg
265,9月22日,9月21日,86,54,img/2013 (265).jpg,107,80.4,img/2014 (265).jpg,272,234,img/2015 (265).jpg,86,58,img/2016 (265).jpg,43,30,img/2017 (265).jpg,14,2,img/2018 (265).jpg
266,9月23日,9月22日,13,9,img/2013 (266).jpg,93,69.3,img/2014 (266).jpg,26,18,img/2015 (266).jpg,122,93,img/2016 (266).jpg,137,46,img/2017 (266).jpg,19,6,img/2018 (266).jpg
267,9月24日,9月23日,25,7,img/2013 (267).jpg,22,9.8,img/2014 (267).jpg,159,110,img/2015 (267).jpg,161,123,img/2016 (267).jpg,118,72,img/2017 (267).jpg,13,9,img/2018 (267).jpg
268,9月25日,9月24日,34,11,img/2013 (268).jpg,111,84.1,img/2014 (268).jpg,39,27,img/2015 (268).jpg,40,28,img/2016 (268).jpg,85,47,img/2017 (268).jpg,53,20,img/2018 (268).jpg
269,9月26日,9月25日,44,21,img/2013 (269).jpg,138,105.3,img/2014 (269).jpg,22,13,img/2015 (269).jpg,256,206,img/2016 (269).jpg,164,125,img/2017 (269).jpg,75,37,img/2018 (269).jpg
270,9月27日,9月26日,151,116,img/2013 (270).jpg,75,55.2,img/2014 (270).jpg,99,56,img/2015 (270).jpg,52,37,img/2016 (270).jpg,51,22,img/2017 (270).jpg,82,49,img/2018 (270).jpg
271,9月28日,9月27日,280,222,img/2013 (271).jpg,154,118,img/2014 (271).jpg,113,85,img/2015 (271).jpg,30,16,img/2016 (271).jpg,18,5,img/2017 (271).jpg,149,117,img/2018 (271).jpg
272,9月29日,9月28日,298,218,img/2013 (272).jpg,140,106.9,img/2014 (272).jpg,124,87,img/2015 (272).jpg,22,9,img/2016 (272).jpg,67,43,img/2017 (272).jpg,13,2,img/2018 (272).jpg
273,9月30日,9月29日,149,94,img/2013 (273).jpg,28,16.6,img/2014 (273).jpg,32,22,img/2015 (273).jpg,54,31,img/2016 (273).jpg,179,135,img/2017 (273).jpg,23,2,img/2018 (273).jpg
274,10月1日,9月30日,181,131,img/2013 (274).jpg,104,78.1,img/2014 (274).jpg,14,9,img/2015 (274).jpg,88,65,img/2016 (274).jpg,206,156,img/2017 (274).jpg,28,6,img/2018 (274).jpg
275,10月2日,10月1日,32,13,img/2013 (275).jpg,79,58.4,img/2014 (275).jpg,45,19,img/2015 (275).jpg,212,162,img/2016 (275).jpg,48,13,img/2017 (275).jpg,27,8,img/2018 (275).jpg
276,10月3日,10月2日,76,48,img/2013 (276).jpg,141,107.8,img/2014 (276).jpg,37,23,img/2015 (276).jpg,219,169,img/2016 (276).jpg,29,19,img/2017 (276).jpg,34,11,img/2018 (276).jpg
