Date,Temperature(Celsius)(high),Temperature(Celsius)(avg),Temperature(Celsius)(low),Dew Point(Celsius)(high),Dew Point(Celsius)(avg),Dew Point(Celsius)(low),Humidity(%)(high),Humidity(%)(avg),Humidity(%)(low),Sea Level Press(hPa's)(high),Sea Level Press(hPa's)(avg),Sea Level Press(hPa's)(low),Visibility(km)(high),Visibility(km)(avg),Visibility(km)(low),Wind(km/h)(high),Wind(km/h)(avg),Precipitation(mm)(high),Precipitation(mm)(sum),weather1,weather2,weather3
2014-6-30,35,29,23,19,17,12,78,47,16,1007,1006,1003,19,10,6,21,6,-,0,,,
2014-7-1,32,26,20,22,19,15,100,59,35,1007,1004,1001,14,5,1,29,10,50,43.94,中雨 , 雷暴,
2014-7-2,27,23,21,22,21,19,95,85,57,1005,1003,1001,6,5,2,11,5,-,4.06,中雨 , 雷暴,
2014-7-3,30,27,23,23,22,21,94,79,54,1002,1001,999,5,2,1,14,8,-,0,,,
2014-7-4,34,29,24,24,23,21,94,75,52,1007,1004,1002,4,3,2,21,6,-,0,,,
2014-7-5,31,27,23,23,22,20,94,73,45,1008,1007,1005,8,4,1,14,6,-,0,,,
2014-7-6,32,28,24,24,23,22,94,76,46,1006,1005,1003,4,2,1,14,10,-,0,,,
2014-7-7,32,28,24,23,22,21,85,71,51,1005,1003,1000,6,5,2,18,8,-,0.51,,,
2014-7-8,34,29,24,22,19,9,89,58,14,1004,1002,1000,31,9,2,21,6,-,0,,,
2014-7-9,32,27,22,20,15,11,83,49,17,1006,1004,1002,31,26,16,18,6,-,0,,,
2014-7-10,38,29,21,19,15,9,83,44,16,1002,1000,997,31,24,16,26,8,35,0,,,
2014-7-11,36,28,21,20,15,8,83,45,11,1001,1000,998,31,24,3,18,8,-,0,,,
2014-7-12,34,29,24,16,12,9,61,34,15,1004,1002,1000,31,23,10,18,11,-,0,,,
2014-7-13,36,28,21,22,14,11,73,45,16,1004,1002,1000,31,15,6,40,8,-,16,中雨 , 雷暴,
2014-7-14,36,28,20,20,16,13,83,49,24,1003,1002,1000,27,14,6,21,8,-,0,,,
2014-7-15,32,27,23,22,17,15,78,51,35,1005,1003,1002,23,15,10,32,14,35,1.02,中雨,,
2014-7-16,31,26,22,24,21,19,89,74,46,1006,1004,1001,10,5,2,26,6,-,8.89,中雨 , 雷暴,
2014-7-17,29,26,22,23,22,19,88,76,62,1007,1006,1003,7,4,2,18,6,-,0,中雨,,
2014-7-18,34,29,24,24,22,21,89,67,41,1008,1007,1005,10,5,3,18,6,-,0,,,
2014-7-19,37,31,26,24,23,22,89,61,39,1010,1008,1006,18,8,6,18,8,-,0,,,
2014-7-20,36,31,27,24,23,22,84,61,42,1008,1005,1001,19,8,5,26,11,47,0,中雨,,
2014-7-21,36,31,26,24,19,13,74,50,19,1004,1002,999,31,23,8,32,11,40,0,中雨,,
2014-7-22,30,28,26,18,16,13,54,46,26,1007,1006,1004,31,22,10,21,10,43,0,中雨,,
2014-7-23,32,27,23,20,17,13,78,51,31,1006,1004,1001,31,15,10,14,8,32,0,,,
2014-7-24,30,26,22,21,20,18,83,69,44,1008,1005,1003,23,8,6,11,5,-,0,中雨,,
2014-7-25,34,27,20,21,17,14,94,57,25,1007,1006,1004,24,8,2,18,8,-,0,,,
2014-7-26,36,28,21,20,18,16,83,52,25,1009,1008,1006,14,6,3,21,8,32,0,,,
2014-7-27,36,29,23,19,18,15,69,49,28,1011,1008,1004,10,6,4,21,10,-,0,,,
2014-7-28,36,30,24,22,20,17,83,56,29,1006,1004,1001,11,5,3,26,11,32,0,,,
2014-7-29,35,29,23,23,21,18,94,59,35,1005,1003,1000,10,5,2,32,13,-,20.07,中雨 , 雷暴,
2014-7-30,28,26,23,23,22,21,94,82,60,1008,1005,1003,6,3,2,14,8,-,21.08,中雨 , 雷暴,
2014-7-31,31,27,24,23,22,21,94,75,48,1008,1007,1004,5,3,1,14,6,-,0,,,
2014-8-1,32,28,24,24,23,21,94,73,47,1008,1006,1005,6,4,2,11,6,-,0,,,
2014-8-2,34,29,25,25,24,22,94,73,47,1006,1003,1000,6,5,4,14,6,-,0,,,
2014-8-3,35,30,26,25,24,23,94,73,47,1002,1001,999,8,4,2,18,5,-,0.51,中雨,,
2014-8-4,28,24,19,24,20,17,91,79,51,1007,1004,1001,31,11,3,29,8,47,12.95,中雨,,
2014-8-5,32,26,19,22,18,14,94,67,33,1008,1007,1005,27,20,10,14,6,-,0,,,
2014-8-6,34,28,22,22,17,10,94,56,16,1009,1007,1006,31,14,6,18,8,-,0,,,
2014-8-7,33,27,20,20,17,13,94,56,26,1010,1009,1007,14,8,2,14,8,-,0,,,
2014-8-8,32,26,20,19,17,13,88,56,22,1010,1008,1006,10,7,5,18,8,-,0,,,
2014-8-9,31,26,21,20,18,12,88,61,24,1008,1006,1002,10,6,2,32,8,29,4.06,中雨 , 雷暴,
2014-8-10,34,27,19,20,18,16,94,63,30,1005,1003,1000,19,9,3,18,8,26,0,,,
2014-8-11,35,28,20,20,14,9,83,47,14,1006,1004,1002,31,21,5,18,10,-,0,,,
2014-8-12,33,26,19,18,13,9,83,45,20,1008,1006,1004,27,13,5,35,6,55,5.08,中雨 , 雷暴,
2014-8-13,23,20,18,19,18,17,94,86,70,1009,1008,1007,18,9,2,21,8,-,7.87,中雨 , 雷暴,
2014-8-14,30,23,16,18,17,15,94,68,37,1009,1007,1005,21,10,2,21,8,-,0,,,
2014-8-15,32,25,18,20,17,13,94,66,25,1008,1006,1005,24,8,3,29,6,55,0,中雨 , 雷暴,
2014-8-16,33,27,20,22,18,16,88,62,31,1009,1007,1006,13,7,2,11,6,-,0,,,
2014-8-17,30,25,20,22,18,15,83,60,33,1012,1010,1008,18,9,4,21,10,-,0,雷暴,,
2014-8-18,30,25,20,20,18,16,88,62,38,1013,1012,1010,8,7,3,14,6,-,0,,,
2014-8-19,33,27,20,20,18,16,94,61,31,1013,1011,1009,10,6,3,18,8,32,0,,,
2014-8-20,33,27,21,21,19,16,88,60,29,1010,1008,1006,10,5,2,21,8,32,0,,,
2014-8-21,33,28,23,22,20,16,83,65,39,1009,1007,1005,11,5,2,32,8,58,0,中雨 , 雷暴,
2014-8-22,28,23,19,21,19,17,94,70,48,1009,1007,1005,14,7,3,18,8,-,3.05,,,
2014-8-23,33,27,22,23,21,16,94,69,40,1006,1005,1003,10,5,2,26,6,32,0.51,中雨 , 雷暴,
2014-8-24,33,27,22,20,16,9,88,56,18,1010,1007,1005,31,14,6,21,10,29,0.25,中雨,,
2014-8-25,32,24,18,18,12,6,88,47,11,1012,1011,1009,31,22,8,18,8,32,0,,,
2014-8-26,36,26,16,15,10,3,83,41,7,1014,1013,1011,31,19,6,14,6,21,0,,,
2014-8-27,35,26,17,17,14,11,82,49,22,1014,1013,1012,14,10,6,18,6,35,0,,,
2014-8-28,30,24,19,21,17,15,94,65,36,1016,1014,1013,10,7,3,26,6,-,4.06,中雨 , 雷暴,
2014-8-29,27,23,19,21,18,17,94,78,47,1016,1015,1014,7,5,2,14,6,-,1.02,中雨 , 雷暴,
2014-8-30,27,24,21,22,21,19,94,85,54,1016,1015,1012,5,3,2,11,5,-,0.76,中雨 , 雷暴,
2014-8-31,27,23,20,21,20,18,100,86,52,1014,1013,1012,10,4,2,18,6,-,2.03,中雨 , 雷暴,
2014-9-1,26,22,19,22,20,19,100,88,57,1014,1013,1010,10,4,0,50,6,40,75.95,雾 , 中雨 , 雷暴
2014-9-2,24,21,19,20,19,16,100,91,73,1012,1011,1009,31,7,2,14,6,-,14.99,中雨,,
2014-9-3,31,23,16,16,14,6,94,60,13,1012,1009,1006,31,23,11,21,8,-,0,,,
2014-9-4,34,24,15,19,16,12,100,62,21,1006,1005,1003,29,14,6,18,6,32,0,,,
2014-9-5,30,24,18,21,18,15,88,70,33,1011,1009,1006,11,7,2,14,8,29,0,,,
2014-9-6,29,24,20,21,19,17,94,74,41,1013,1011,1009,7,4,0,14,6,-,0,,,
2014-9-7,30,26,22,21,19,17,94,72,41,1009,1008,1005,7,5,2,18,6,-,0,中雨,,
2014-9-8,29,22,16,19,8,2,88,42,11,1012,1010,1008,31,22,6,18,11,26,0,,,
2014-9-9,29,21,14,17,13,11,94,58,25,1012,1010,1009,16,11,8,14,6,-,0,,,
2014-9-10,29,23,17,17,15,10,94,61,23,1015,1014,1012,21,9,5,14,6,-,0,,,
2014-9-11,26,22,18,20,17,14,94,72,44,1015,1014,1012,9,6,3,18,6,-,0,中雨 , 雷暴,
2014-9-12,25,22,19,19,17,14,100,78,47,1016,1015,1014,11,6,3,11,5,-,0.51,中雨,,
2014-9-13,28,23,18,18,16,12,100,67,28,1016,1014,1012,19,7,3,18,6,-,0,中雨,,
2014-9-14,24,19,15,17,11,3,88,60,19,1019,1017,1013,31,9,2,18,6,-,0,,,
2014-9-15,29,20,11,13,5,-2,88,44,9,1021,1018,1015,31,22,8,18,8,40,0,,,
2014-9-16,22,17,12,14,10,7,82,61,30,1020,1018,1017,18,9,6,14,6,-,0,,,
2014-9-17,23,18,14,13,11,8,94,64,38,1022,1020,1019,19,12,7,11,6,-,0,,,
2014-9-18,28,19,11,13,10,5,100,59,19,1022,1019,1016,19,6,3,14,6,-,0,,,
2014-9-19,25,18,12,17,14,10,94,74,36,1016,1012,1009,10,6,2,14,6,35,1.02,中雨 , 雷暴,
2014-9-20,27,22,17,18,17,14,94,75,43,1014,1010,1008,6,4,2,11,5,-,0,,,
2014-9-21,25,21,18,18,15,12,83,68,52,1019,1017,1014,8,6,2,18,10,-,0,,,
2014-9-22,22,21,19,18,17,16,94,81,66,1020,1018,1016,6,4,2,14,6,-,1.02,中雨,,
2014-9-23,19,18,17,18,17,16,100,93,79,1019,1017,1016,9,4,2,14,8,-,2.03,中雨,,
2014-9-24,26,21,16,17,16,13,100,77,37,1018,1016,1014,27,8,2,14,6,-,9.91,中雨,,
2014-9-25,22,18,14,18,16,14,100,87,67,1019,1016,1014,6,4,2,11,5,-,0,,,
2014-9-26,23,20,17,18,16,15,100,84,59,1014,1011,1008,5,3,2,18,8,-,0,中雨 , 雷暴,
2014-9-27,25,18,12,16,11,6,100,64,20,1019,1016,1012,31,11,3,14,6,-,0,,,
2014-9-28,23,18,14,17,14,11,100,76,53,1018,1016,1014,10,7,5,14,5,-,0,,,
2014-9-29,24,18,12,15,9,0,100,61,21,1028,1019,1013,31,7,3,26,10,-,0,,,
2014-9-30,16,13,10,6,2,-2,71,48,22,1029,1026,1021,31,22,8,11,8,-,0,,,
2014-10-1,15,13,11,11,8,1,100,81,47,1029,1017,1014,8,4,2,18,6,-,6.1,中雨,,
2014-10-2,21,14,9,13,11,8,100,81,49,1016,1013,1011,8,4,0,14,8,-,0,雾 , 中雨,
2014-10-3,18,14,11,14,13,11,100,86,67,1019,1017,1016,10,5,0,11,5,-,1.02,雾 , 中雨,
2014-10-4,17,14,13,14,13,12,100,92,71,1023,1019,1017,6,4,2,18,8,-,0.25,中雨,,
2014-10-5,22,16,9,13,7,1,100,63,20,1027,1024,1022,31,8,0,26,10,-,0,雾,,
2014-10-6,21,13,5,8,4,-2,93,58,12,1027,1024,1020,31,17,8,14,6,-,0,,,
2014-10-7,21,14,8,12,9,6,94,73,32,1022,1020,1018,8,4,2,11,5,-,0,,,
2014-10-8,20,16,11,15,12,10,100,83,55,1021,1019,1017,3,2,0,11,3,-,0.25,雾 , 中雨 , 雷暴
2014-10-9,22,16,11,16,13,11,100,86,51,1021,1019,1018,2,1,0,6,3,-,0,雾,,
2014-10-10,23,17,12,15,14,11,100,84,47,1024,1022,1020,2,1,0,11,5,-,0,雾,,
2014-10-11,21,18,14,16,12,4,100,76,30,1027,1022,1020,26,2,0,29,8,-,0,雾,,
2014-10-12,19,14,9,9,0,-6,77,38,11,1033,1030,1028,31,19,10,29,14,-,0,中雨,,
2014-10-13,18,10,3,3,-4,-12,81,41,5,1031,1027,1023,31,24,10,14,8,-,0,,,
2014-10-14,22,12,3,6,1,-1,87,51,15,1023,1019,1015,14,10,5,18,6,32,0,,,
2014-10-15,23,14,5,6,-2,-12,100,44,4,1022,1015,1013,31,10,2,40,13,61,0,,,
2014-10-16,22,12,2,3,-2,-7,87,44,8,1025,1021,1017,21,13,6,29,8,35,0,,,
2014-10-17,24,14,4,8,4,1,93,59,16,1018,1016,1014,8,6,3,14,5,-,0,,,
2014-10-18,24,16,7,12,8,5,100,67,26,1019,1016,1014,7,5,2,11,6,-,0,,,
2014-10-19,21,17,13,13,12,10,94,75,46,1016,1014,1013,6,3,0,14,5,26,0,,,
2014-10-20,18,14,10,14,12,7,100,86,51,1024,1018,1015,8,2,0,18,6,-,0,雾,,
2014-10-21,15,10,6,7,0,-5,81,45,15,1026,1025,1023,19,14,10,14,8,-,0,,,
2014-10-22,14,10,6,8,5,2,82,69,53,1025,1022,1019,10,6,5,11,5,-,0,,,
2014-10-23,16,12,9,9,8,7,100,73,45,1019,1015,1012,6,5,2,11,5,-,0,,,
2014-10-24,18,13,8,12,10,7,100,85,54,1013,1011,1009,4,2,0,11,5,-,0,雾,,
2014-10-25,19,13,8,14,12,8,100,88,60,1014,1011,1010,2,1,0,11,5,-,0,雾,,
2014-10-26,18,13,9,13,-5,-14,100,34,5,1031,1024,1014,31,8,0,29,14,32,0,雾,,
2014-10-27,15,9,3,2,-7,-15,76,32,9,1034,1032,1029,21,14,3,14,10,32,0,,,
2014-10-28,15,9,3,6,2,0,87,62,29,1030,1027,1024,11,9,5,14,5,-,0,,,
2014-10-29,16,10,5,8,5,3,93,69,32,1026,1024,1023,8,6,3,11,5,-,0,,,
2014-10-30,15,12,10,10,7,5,88,71,43,1024,1023,1021,7,4,2,6,3,-,0,中雨,,
2014-10-31,15,13,11,11,9,8,94,78,60,1022,1020,1018,4,3,0,11,5,-,0,中雨,,
2014-11-1,16,10,4,11,-1,-9,100,51,9,1021,1019,1018,27,7,0,40,11,55,0,雾,,
2014-11-2,15,10,4,-3,-11,-14,61,22,5,1026,1023,1022,31,24,11,35,26,55,0,,,
2014-11-3,19,9,0,1,-4,-8,87,42,7,1023,1020,1017,31,18,8,14,6,32,0,,,
2014-11-4,15,8,0,3,1,-2,93,65,23,1017,1016,1013,11,6,2,14,3,-,0,,,
2014-11-5,20,10,1,3,-4,-10,93,42,8,1024,1018,1016,31,9,2,29,11,47,0,,,
2014-11-6,12,7,2,-3,-9,-17,70,32,6,1033,1030,1025,31,26,10,26,13,-,0,,,
2014-11-7,10,5,0,0,-4,-9,87,54,21,1034,1032,1030,26,14,10,11,5,29,0,,,
2014-11-8,13,6,-2,1,-2,-5,93,65,25,1030,1028,1025,10,7,3,14,5,32,0,,,
2014-11-9,16,7,-2,1,-3,-9,93,57,14,1028,1025,1023,18,8,2,14,6,-,0,,,
2014-11-10,16,7,-1,2,-3,-8,93,53,15,1024,1021,1019,11,6,2,14,5,-,0,,,
2014-11-11,14,7,1,2,-6,-17,93,40,6,1024,1019,1017,31,11,2,43,14,50,0,,,
2014-11-12,8,4,2,-14,-18,-22,28,17,4,1028,1025,1022,31,28,23,47,26,58,0,,,
2014-11-13,12,3,-4,-7,-12,-16,69,29,7,1029,1025,1022,21,14,6,29,11,50,0,,,
2014-11-14,14,6,-3,-7,-10,-14,74,36,7,1028,1027,1024,24,10,6,14,8,-,0,,,
2014-11-15,8,3,-1,-1,-6,-9,69,48,19,1029,1028,1026,8,5,2,11,5,-,0,,,
2014-11-16,12,4,-2,2,-4,-8,100,49,17,1030,1026,1024,27,6,0,32,10,47,0,雾,,
2014-11-17,13,6,-1,-5,-9,-13,69,35,9,1033,1031,1029,31,15,5,26,13,35,0,,,
2014-11-18,13,5,-3,-4,-7,-9,80,47,11,1031,1029,1027,14,6,2,14,6,26,0,,,
2014-11-19,9,3,-2,1,-2,-5,87,71,42,1027,1023,1020,6,3,0,6,3,-,0,雾,,
2014-11-20,9,3,-2,1,-1,-3,100,78,49,1020,1018,1016,3,2,0,14,5,-,0,雾,,
2014-11-21,15,7,-2,1,-6,-15,100,52,12,1026,1021,1019,6,3,0,26,8,40,0,雾,,
2014-11-22,12,4,-3,1,-9,-13,81,39,8,1029,1027,1025,26,11,5,14,10,-,0,,,
2014-11-23,9,4,-1,3,1,-1,100,80,58,1028,1026,1023,7,4,2,14,5,-,0,雾 , 中雨,
2014-11-24,12,4,-3,0,-7,-15,100,50,7,1028,1027,1025,26,7,0,18,10,-,0,雾,,
2014-11-25,9,3,-3,2,-1,-5,92,73,52,1026,1021,1016,8,5,0,18,5,-,0,,,
2014-11-26,8,2,-3,2,0,-3,100,82,47,1021,1016,1015,4,2,0,6,5,-,0,雾,,
2014-11-27,7,4,2,2,-13,-19,94,29,6,1026,1024,1021,26,9,0,26,13,40,0,雾,,
2014-11-28,10,5,0,1,-5,-9,82,49,26,1023,1021,1019,14,6,2,14,6,-,0,,,
2014-11-29,4,1,-2,4,1,-3,100,88,81,1022,1021,1019,4,2,0,11,5,-,0,雾 , 中雨,
2014-11-30,8,2,-3,4,-13,-31,100,41,4,1031,1024,1020,14,4,0,55,19,87,0,雾,,
2014-12-1,0,-3,-8,-20,-22,-25,38,21,6,1034,1032,1029,26,17,7,50,32,72,0,,,
2014-12-2,0,-5,-10,-13,-19,-25,63,31,8,1033,1028,1023,31,10,2,14,8,-,0,,,
2014-12-3,1,-4,-10,-17,-23,-27,57,21,4,1029,1027,1025,26,13,3,35,16,50,0,,,
2014-12-4,2,-3,-7,-21,-23,-26,33,18,4,1029,1027,1026,31,20,11,35,19,50,0,,,
2014-12-5,4,-3,-9,-15,-20,-25,50,26,5,1030,1027,1025,31,10,2,32,16,43,0,,,
2014-12-6,5,-2,-10,-12,-17,-20,73,34,7,1028,1026,1025,16,8,2,14,5,-,0,,,
2014-12-7,5,1,-3,-3,-13,-20,86,40,6,1032,1027,1025,23,10,3,32,10,47,0,,,
2014-12-8,4,-3,-9,-11,-13,-16,68,42,16,1037,1034,1032,19,7,3,14,8,-,0,,,
2014-12-9,1,-4,-9,-6,-8,-12,80,64,40,1037,1034,1029,5,3,0,11,5,-,0,中雪,,
2014-12-10,5,-1,-7,-2,-12,-19,100,50,7,1033,1028,1025,23,3,0,40,13,61,0,雾 , 中雪,
2014-12-11,4,-1,-6,-13,-17,-21,46,27,8,1035,1031,1028,29,17,5,40,21,64,0,,,
2014-12-12,3,-1,-8,-15,-19,-22,53,24,6,1030,1028,1026,31,14,5,35,18,58,0,,,
2014-12-13,5,-2,-10,-13,-16,-21,73,37,8,1030,1028,1026,31,9,5,14,5,35,0,,,
2014-12-14,6,-2,-10,-11,-15,-19,68,39,7,1029,1026,1024,10,6,2,18,6,-,0,,,
2014-12-15,4,-1,-5,-8,-17,-22,74,32,8,1035,1028,1024,24,7,2,47,19,61,0,,,
2014-12-16,0,-2,-6,-18,-20,-23,39,26,7,1034,1031,1030,31,22,16,40,19,58,0,,,
2014-12-17,5,-3,-11,-13,-16,-20,62,35,9,1030,1029,1027,14,7,2,18,8,-,0,,,
2014-12-18,2,-4,-9,-6,-10,-14,86,60,34,1032,1028,1024,8,5,2,14,6,-,0,,,
2014-12-19,5,-1,-6,-6,-14,-20,86,39,11,1031,1025,1022,23,8,0,43,19,58,0,,,
2014-12-20,2,-2,-7,-17,-19,-22,39,25,8,1032,1030,1028,31,23,10,35,19,40,0,,,
2014-12-21,2,-2,-6,-15,-19,-22,40,26,8,1032,1027,1023,31,15,5,40,23,55,0,,,
2014-12-22,9,0,-9,-10,-13,-17,68,39,9,1026,1023,1022,8,6,2,18,6,-,0,,,
2014-12-23,11,1,-8,-9,-13,-18,73,41,8,1025,1021,1018,23,6,2,18,6,32,0,,,
2014-12-24,6,0,-6,-12,-14,-18,50,30,8,1034,1032,1025,31,21,3,26,14,40,0,,,
2014-12-25,7,0,-7,-11,-13,-14,59,36,11,1035,1033,1031,31,14,6,18,11,-,0,,,
2014-12-26,2,-2,-7,-8,-9,-12,74,58,27,1034,1032,1030,8,6,2,11,5,-,0,,,
2014-12-27,6,-1,-8,-7,-9,-11,80,57,21,1030,1028,1025,5,3,0,14,6,26,0,雾,,
2014-12-28,9,1,-6,-7,-11,-14,80,43,10,1025,1020,1016,11,4,0,26,8,43,0,雾,,
2014-12-29,12,2,-8,-7,-12,-15,68,42,6,1016,1014,1011,14,6,0,32,6,40,0,,,
2014-12-30,7,1,-5,-8,-14,-22,54,30,7,1027,1019,1016,10,8,3,35,10,58,0,,,
2014-12-31,1,-2,-5,-17,-22,-27,29,20,5,1035,1032,1027,23,18,10,72,34,93,0,,,